2RXS  J001118.9+742904     2.82904	  74.48452	  8.71 	  11.82554	  61.49743	   27.23	   20.99	  5.483580	  0.0282	  0.0074	  743.43	   0.898	   0.457	  -1.000	   0.276
2RXS  J005429.4+742525    13.62264	  74.42389	 12.90 	  11.55322	  59.16317	    8.54	    8.53	  3.581695	  0.0102	  0.0043	  836.04	  -1.000	   2.322	  -1.000	   7.637
2RXS  J010009.5+742245    15.03972	  74.37934	 22.67 	  11.51758	  58.84845	    6.70	    9.79	  4.295572	  0.0116	  0.0051	  845.73	   9.999	   9.999	   9.999	   9.999
2RXS  J004139.3+742823    10.41412	  74.47331	 17.89 	  11.61409	  59.85439	   26.90	   31.15	  6.699982	  0.0413	  0.0089	  754.19	  -0.370	   0.176	   0.523	   0.303
2RXS  J001224.4+742217     3.10183	  74.37145	 36.34 	  11.70241	  61.37366	    6.53	    9.70	  4.026597	  0.0131	  0.0055	  738.39	   9.999	   9.999	   9.999	   9.999
2RXS  J010521.6+741458    16.34026	  74.24945	 17.00 	  11.40359	  58.50160	    6.54	    8.33	  3.940731	  0.0098	  0.0047	  846.45	   9.999	   9.999	   9.999	   9.999
2RXS  J002603.1+742021     6.51304	  74.33940	 12.87 	  11.55358	  60.60345	    6.72	    4.93	  2.742157	  0.0067	  0.0038	  731.09	   9.999	   9.999	   9.999	   9.999
2RXS  J010323.4+741129    15.84762	  74.19154	 17.24 	  11.33890	  58.56024	   11.14	   17.52	  5.539334	  0.0208	  0.0066	  841.57	   0.490	   0.639	  -0.137	   0.538
2RXS  J002933.7+741711     7.39072	  74.28644	 16.64 	  11.47866	  60.38155	    9.76	   10.05	  4.024498	  0.0139	  0.0056	  722.52	  -1.000	   0.791	   0.000	   0.000
2RXS  J002059.5+741320     5.24798	  74.22228	 14.64 	  11.47501	  60.81174	    6.93	    8.11	  3.734704	  0.0111	  0.0051	  728.98	   9.999	   9.999	   9.999	   9.999
2RXS  J004620.9+741249    11.58732	  74.21384	 11.00 	  11.34542	  59.44505	   19.83	   17.92	  5.145040	  0.0239	  0.0069	  749.35	   1.000	   0.244	   0.626	   0.174
2RXS  J000637.1+735717     1.65482	  73.95489	 18.72 	  11.35686	  61.46987	    9.78	   13.45	  4.890973	  0.0191	  0.0070	  703.51	  -0.171	   0.318	  -0.126	   0.533
2RXS  J004414.1+740132    11.05881	  74.02562	 10.80 	  11.16078	  59.43525	   18.11	   16.98	  5.122839	  0.0236	  0.0071	  720.64	   0.584	   0.383	   1.000	   0.279
2RXS  J010302.4+734806    15.76010	  73.80184	 15.61 	  10.94850	  58.31204	    8.70	   11.25	  4.485726	  0.0137	  0.0055	  818.95	   0.276	   0.379	   0.200	   0.367
2RXS  J000626.3+734834     1.60982	  73.80972	 31.46 	  11.21617	  61.39962	    7.62	   10.73	  4.612111	  0.0155	  0.0067	  691.52	   0.810	   0.373	   0.326	   0.271
2RXS  J005202.4+734902    13.01012	  73.81726	 12.89 	  10.94540	  58.88944	    7.71	    9.11	  4.161587	  0.0123	  0.0056	  738.89	   0.195	   0.278	  -0.839	   0.306
2RXS  J000003.0+733941     0.01260	  73.66163	 15.04 	  11.15549	  61.69149	    7.64	    9.71	  4.311814	  0.0145	  0.0064	  671.22	   1.000	   3.344	   1.000	   0.464
2RXS  J004358.2+734357    10.99253	  73.73277	 15.51 	  10.86859	  59.26103	   37.27	   34.22	  6.804507	  0.0492	  0.0098	  696.12	   1.000	   0.152	   0.560	   0.131
2RXS  J005609.7+733600    14.04044	  73.60001	 23.48 	  10.73122	  58.52922	   10.85	   14.84	  4.982169	  0.0201	  0.0067	  738.81	   0.185	   0.356	   0.040	   0.382
2RXS  J004327.6+733750    10.86533	  73.63058	 12.41 	  10.76754	  59.22235	    8.64	    8.29	  3.807828	  0.0122	  0.0056	  680.78	  -0.232	   0.379	  -0.065	   0.650
