myDEC	edDEC	myRA	edRA
61.696250	61.696250	245.730870	245.730870
61.696250	61.696250	245.730870	245.730870
61.694860	61.694860	245.949910	245.949910
61.771520	61.771520	265.706970	265.706970
61.822420	61.822420	245.837130	245.837130
61.808180	61.808180	246.495970	246.495970
61.964000	61.964000	180.058870	180.058870
62.179340	62.179340	210.531170	210.531170
62.161700	62.161700	268.918880	268.918880
62.213240	62.213240	209.762850	209.762850
62.237520	62.237520	210.824940	210.824940
62.314490	62.314490	209.892400	209.892400
62.309850	62.309850	250.285450	250.285450
62.317760	62.317760	271.376800	271.376800
62.314490	62.314490	209.892400	209.892400
62.325180	62.325180	249.909320	249.909320
62.304640	62.304640	210.188900	210.188900
62.409430	62.409430	217.817250	217.817250
62.409500	62.409500	217.173420	217.173420
62.436520	62.436520	269.059750	269.059750
62.455820	62.455820	271.770480	271.770480
62.435530	62.435530	249.318010	249.318010
62.444980	62.444980	188.565110	188.565110
62.458680	62.458680	170.494740	170.494740
62.522310	62.522310	273.405610	273.405610
62.521580	62.521580	209.952900	209.952900
62.534930	62.534930	170.249950	170.249950
62.602000	62.602000	187.985140	187.985140
62.611760	62.611760	268.952330	268.952330
62.607860	62.607860	123.117980	123.117980
62.602650	62.602650	248.933440	248.933440
62.673590	62.673590	210.289950	210.289950
62.715740	62.715740	187.418260	187.418260
62.741120	62.741120	273.784390	273.784390
62.748190	62.748190	280.231170	280.231170
62.766950	62.766950	217.714360	217.714360
62.778490	62.778490	222.562910	222.562910
62.824270	62.824270	268.942630	268.942630
62.883330	62.883330	188.130330	188.130330
62.863810	62.863810	272.817470	272.817470
62.886140	62.886140	221.677200	221.677200
62.935540	62.935540	123.653440	123.653440
62.978300	62.978300	189.415050	189.415050
63.111150	63.111150	222.427120	222.427120
63.127900	63.127900	215.695710	215.695710
63.135210	63.135210	222.988450	222.988450
63.186470	63.186470	189.244450	189.244450
63.180660	63.180660	221.276570	221.276570
63.189890	63.189890	216.357500	216.357500
63.239350	63.239350	264.506650	264.506650
63.235840	63.235840	279.795290	279.795290
63.235660	63.235660	268.985410	268.985410
63.281370	63.281370	189.318050	189.318050
63.300500	63.300500	106.111450	106.111450
63.350660	63.350660	279.559450	279.559450
63.489520	63.489520	221.511340	221.511340
63.477790	63.477790	269.367000	269.367000
63.494190	63.494190	270.227080	270.227080
63.556380	63.556380	106.371780	106.371780
63.538810	63.538810	220.528150	220.528150
63.594300	63.594300	269.828120	269.828120
63.587430	63.587430	265.440670	265.440670
63.587430	63.587430	265.440670	265.440670
63.601420	63.601420	221.140590	221.140590
63.613930	63.613930	195.447750	195.447750
63.610570	63.610570	219.193330	219.193330
63.585280	63.585280	268.768680	268.768680
63.604330	63.604330	274.537350	274.537350
63.613930	63.613930	195.447750	195.447750
63.694130	63.694130	265.868010	265.868010
